"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"229490_s_at",4.94105889135255,9.41902307692308,21.5521938375872,7.49862793001355e-28,3.55565892306817e-25,53.2170720716636
"205384_at",-4.59237050997783,3.56532884615385,-21.4247151117574,9.94155734961796e-28,4.64037722976777e-25,52.9391681448959
"213007_at",4.72353066518847,7.60853134615385,21.402162008267,1.04515904338067e-27,4.80339016967858e-25,52.8898562084798
"222608_s_at",5.75050638580931,8.43690038461538,21.3435036319418,1.19063932143475e-27,5.38908612866973e-25,52.7613942007507
"218349_s_at",4.17337152993348,7.03617384615385,21.1290454494488,1.92204565714189e-27,8.56974177847757e-25,52.2891752166547
"203214_x_at",6.22991219512195,7.63053615384615,21.0798705146043,2.14629747970859e-27,9.42887420754922e-25,52.1803269570254
"224012_at",-4.94240425720621,3.94554615384615,-20.9257185973383,3.03740550072346e-27,1.31502050033496e-24,51.837725517258
"1562755_at",-5.61425507760532,3.68757307692308,-20.7698376677344,4.32415321805761e-27,1.84536327261478e-24,51.4891263674827
"216153_x_at",-2.73881711751663,7.83468076923077,-20.7456652699395,4.56845714860165e-27,1.92216225915743e-24,51.4348738529528
"202095_s_at",6.49855818181818,7.487405,20.6367751075933,5.85547541534787e-27,2.42945301503732e-24,51.1898266588787
"65718_at",-2.81981188470067,4.65936769230769,-20.6012323650568,6.35101569374324e-27,2.59895742218071e-24,51.1096084592047
"233103_at",-2.12472800443459,2.96275096153846,-20.5090125450369,7.84524668229902e-27,3.16704127216647e-24,50.9009366301689
"210794_s_at",-4.36160705099778,4.03264423076923,-20.4620950634816,8.73807367974664e-27,3.48043300046762e-24,50.7944752006243
"205883_at",-5.36363549889135,3.93134788461538,-20.3087104360295,1.24460715094233e-26,4.8921249236974e-24,50.4450154353286
"213661_at",-4.57729840354767,3.58750807692308,-20.2031564305732,1.58953773938503e-26,6.16678712839598e-24,50.2032658779199
"206364_at",5.11489753880266,8.47749634615385,20.1970070637905,1.6124021029419e-26,6.17529333604916e-24,50.1891501086522
"218585_s_at",5.43645241685144,8.35546,20.1877076165455,1.64761582470002e-26,6.23028196598274e-24,50.1677966898767
"204170_s_at",5.72028527716186,10.1467703846154,20.13991514576,1.84131740959732e-26,6.87570937211259e-24,50.0579282136644
"208609_s_at",-5.06185842572062,3.3641075,-20.1094473008707,1.97673732944302e-26,7.29025607931499e-24,49.9877753231334
"202613_at",5.01490432372506,7.06427826923077,20.0912701862958,2.06230817319349e-26,7.51308927534258e-24,49.9458807206955
"226319_s_at",6.49553427937916,8.42851076923077,20.0151157988642,2.46377575495181e-26,8.86751483465968e-24,49.7700230172098
"208103_s_at",6.68932784922395,8.008095,19.7277429464842,4.84344016586723e-26,1.72247723898752e-23,49.1014742618572
"222077_s_at",3.77202250554324,9.63985557692308,19.6310784797514,6.09023802751727e-26,2.14039624230616e-23,48.8748210229602
"208079_s_at",5.45012239467849,8.18459461538461,19.595487185371,6.62760514032388e-26,2.30216800414994e-23,48.7911421203607
"206323_x_at",-3.07116210643016,11.4478613461538,-19.5385692236928,7.58908253991187e-26,2.60584669787112e-23,48.6570676522973
"225687_at",6.22838585365854,7.92174269230769,19.48107686692,8.70459001366813e-26,2.9549115622535e-23,48.5213215176416
"204092_s_at",5.37555159645233,6.7209475,19.4524780370368,9.32019517443483e-26,3.12833921849317e-23,48.4536767509971
"228854_at",-7.25507381374723,5.15692788461538,-19.4174403816881,1.01351087025243e-25,3.36406780300566e-23,48.3706936666051
"238701_x_at",-2.94612039911308,12.1721519230769,-19.3689015523074,1.13852277615522e-25,3.73748251561371e-23,48.255536460337
"211762_s_at",4.73994017738359,11.3235496153846,19.3276792886155,1.25694494304295e-25,4.08138220473065e-23,48.1575566069498
"204162_at",5.06413017738359,8.62184096153846,19.2250761234725,1.60909916824965e-25,5.1686687584002e-23,47.9129577945906
"205507_at",-2.4938066518847,3.01321846153846,-19.1950697781832,1.72995449257676e-25,5.48183306221119e-23,47.8412286737564
"220765_s_at",-3.43550986696231,5.02044442307692,-19.1918892756787,1.74329374656065e-25,5.48183306221119e-23,47.8336205784254
"209714_s_at",5.79674594235033,7.11985576923077,19.1819482795166,1.78566484051703e-25,5.55657976882972e-23,47.809834223345
"203755_at",5.18636855875831,7.75394576923077,19.1405726069735,1.97356814586413e-25,6.07797950736073e-23,47.7107273219906
"211673_s_at",-2.88484605321508,3.31945711538462,-19.1023156203452,2.1651704047691e-25,6.60001382670074e-23,47.6189395123608
"220725_x_at",-2.99939075388026,8.27320211538462,-19.0783546492771,2.29469993193523e-25,6.92419909764659e-23,47.5613772387381
"236325_at",-1.60744740576497,3.580425,-19.042325854585,2.50445641069512e-25,7.48156263566954e-23,47.474716405054
"211450_s_at",5.4044111308204,7.74175576923077,18.970563521992,2.98221070483597e-25,8.82055251342228e-23,47.3017188097791
"222740_at",4.80335106430155,9.53362211538462,18.9270924701252,3.31569743469349e-25,9.71076759476456e-23,47.1966722757459
"235849_at",-6.33656286031042,3.38116480769231,-18.7976558814942,4.55113832203491e-25,1.31996267081698e-22,46.8827667016745
"222752_s_at",4.84310042128603,7.1150975,18.7277719096542,5.40350598719747e-25,1.55210513803413e-22,46.7125822615224
"202589_at",5.36812179600887,11.0371821153846,18.6644554958802,6.31543780131033e-25,1.79677212798613e-22,46.5579629803377
"231031_at",-2.71483317073171,3.06519846153846,-18.5398815615112,8.59321426755021e-25,2.42174613032573e-22,46.2525572476854
"219978_s_at",5.71315603104213,6.94643288461538,18.5293062830195,8.82146388116855e-25,2.46283729459952e-22,46.2265576209528
